,Gene,ImportanceScore,Pathway
455,STK11,0.07260167080284825,shuffled_hsa04151_4
456,CRTC2,0.9449878419325273,shuffled_hsa04151_4
457,CDKN1A,0.14494506666685036,shuffled_hsa04151_4
458,CASP9,0.20659426100307646,shuffled_hsa04151_4
459,RAF1,0.07267118009470068,shuffled_hsa04151_4
460,CD19,0.1622225353607759,shuffled_hsa04151_4
461,SYK,0.07258116729193799,shuffled_hsa04151_4
462,PTK2,0.35137731651529125,shuffled_hsa04151_4
463,RAC1,0.23336705461223511,shuffled_hsa04151_4
464,BRCA1,0.10418066184143535,shuffled_hsa04151_4
465,BCL2,0.2857041919143641,shuffled_hsa04151_4
466,MCL1,0.07261588796164117,shuffled_hsa04151_4
467,MYB,0.11172838587821286,shuffled_hsa04151_4
468,PIK3AP1,0.12548517140775214,shuffled_hsa04151_4
469,NR4A1,0.0726854804644013,shuffled_hsa04151_4
470,EIF4E,0.921955914603192,shuffled_hsa04151_5
471,EIF4EBP1,0.05807399673976511,shuffled_hsa04151_5
472,EIF4B,0.05806740199554779,shuffled_hsa04151_5
473,RHEB,0.058025200042924156,shuffled_hsa04151_5
474,TSC2,0.09596351153050285,shuffled_hsa04151_5
475,TSC1,0.10190339140509282,shuffled_hsa04151_5
476,PDPK1,0.13589574163789084,shuffled_hsa04151_5
477,PTEN,0.0772074345251913,shuffled_hsa04151_5
478,IRS1,0.2615059567063591,shuffled_hsa04151_5
479,GSK3B,0.14856535682497293,shuffled_hsa04151_5
480,MYC,0.05805402312328674,shuffled_hsa04151_5
481,CDKN1B,0.2309302962332754,shuffled_hsa04151_5
482,RBL2,0.058145493965464166,shuffled_hsa04151_5
483,BCL2L11,0.058099222880167056,shuffled_hsa04151_5
484,FOXO3,0.3871107544740916,shuffled_hsa04151_5
485,BAD,0.37017302603010993,shuffled_hsa04151_5
486,MDM2,0.05806444273369118,shuffled_hsa04151_5
487,BCL2L1,0.7070657143931138,shuffled_hsa04151_5
488,TP53,0.05806259733645999,shuffled_hsa04151_5
489,CCND1,0.05804017253069885,shuffled_hsa04151_5
490,G6PC,0.058042243041312835,shuffled_hsa04151_5
491,GRB2,0.8005455640568222,shuffled_hsa04151_5
492,THEM4,0.2665415177086547,shuffled_hsa04151_5
493,CDC37,0.12954629050898117,shuffled_hsa04151_5
494,NOS3,0.3744116510227968,shuffled_hsa04151_5
495,DDIT4,0.058061521563320756,shuffled_hsa04151_5
496,STK11,0.05808187714679325,shuffled_hsa04151_5
497,CRTC2,0.15095104522063568,shuffled_hsa04151_5
498,CDKN1A,0.0581029600972862,shuffled_hsa04151_5
499,CASP9,0.05816295790268883,shuffled_hsa04151_5
500,RAF1,0.058042913786434176,shuffled_hsa04151_5
501,CD19,0.09376986374581107,shuffled_hsa04151_5
502,SYK,0.05804529334482752,shuffled_hsa04151_5
503,PTK2,0.31810669322225466,shuffled_hsa04151_5
504,RAC1,1.0,shuffled_hsa04151_5
505,BRCA1,0.05806248022768569,shuffled_hsa04151_5
506,BCL2,0.28892139247906035,shuffled_hsa04151_5
507,MCL1,0.24705606801797747,shuffled_hsa04151_5
508,MYB,0.11604513740562655,shuffled_hsa04151_5
509,PIK3AP1,0.1904330351423583,shuffled_hsa04151_5
