"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"405",15.6361126506373,0.0649833122187468,0.279959148924579,0.0201524753634335,0.126321005335966,3,0.427597971230141,0.0572988427151805,0.0716716033009215
"412",91.9400586933888,0.0617991188129761,0.652344764093685,0.799739893460766,0.122159968001321,3,0.460054249376291,0.613806879146368,0.100509345155684
"413",54.407767348845,0.0617991188129761,0.198610615048402,0.624861296991327,0.0044126689475168,3,0.460054249376291,0.613806879146368,0.100509345155684
"414",58.549901176948,0.0617991188129761,0.850955379142087,0.17487859646944,0.126572636948838,3,0.460054249376291,0.613806879146368,0.100509345155684
"418",1215.67695127101,0.0618431430401595,7.4513480207855,0,0,1,4.27323168831419,0,0
"419",1450.13161628933,0.0618431430401595,8.88841014680646,0,0,1,4.27323168831419,0,0
"420",234.454665018321,0.0618431430401595,1.43706212602096,0,0,1,4.27323168831419,0,0
"427",49.2746066747791,0.063035091872076,0,0.637230527290784,0.341764592281196,2,0,0.877850021168036,0.215679817895509
"428",58.9132610492737,0.063035091872076,0,0.832218027531167,0.122330176297518,2,0,0.877850021168036,0.215679817895509
"429",21.1126398905415,0.063035091872076,0,0.194987500240383,0.464094768578714,2,0,0.877850021168036,0.215679817895509
"448",27.0304996541607,0.882405865090046,0,0.0454701666586672,0.21482739743998,2,0,0.0561379381319487,0.103604253861078
"449",5.72487307695642,0.882405865090046,0,0.00903829295976522,0.0458197196290602,2,0,0.0561379381319487,0.103604253861078
"450",22.4112483690475,0.882405865090046,0,0.0545084596184324,0.16900767781092,2,0,0.0561379381319487,0.103604253861078
"463",260.914083654998,0.288230029609927,0.697986887919372,0.0446349003168685,0.102477126096598,3,0.68514763117186,0.0839256285697026,0.0663243327473299
"464",277.002448030484,0.288230029609927,0.742697906529481,0.0337924993219332,0.108725524515695,3,0.68514763117186,0.0839256285697026,0.0663243327473299
"465",20.0877657321992,0.288230029609927,0.0447110186101085,0.0784273996388016,0.00624839841909619,3,0.68514763117186,0.0839256285697026,0.0663243327473299
"466",102.62174785035,0.0893837018265972,0.781087996217767,0.145336335853289,0.0798213071879132,3,0.762985123818138,0.129307350209959,0.0645500973248799
