"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"RIPK3"	7.129283	6.794416	6.768184	6.988685	6.857981	6.087463	6.503031	6.686501	6.596935
"SELENOO"	7.321928	7.189825	7.108524	7.330917	7.276124	6.84549	7.189825	7.209453	7.139551
"KMT2D"	4.872829	4.224966	4.263034	4.584963	4.554589	4.392317	4.1127	4.716991	4.169925
"RBL1"	4.852998	5.149747	4.963474	4.802193	5.129283	5.0917	5.436295	4.940167	5.236493
"TRAF4"	4.070389	4	4.017922	4.224966	4.161888	3.906891	3.632268	3.364572	3.906891
"ELP5"	4.672425	4.602884	4.300124	4.608809	4.412782	4.343408	4.50462	4.754888	4.72792
"RPS3"	11.59386	11.44139	11.40461	11.43098	11.58449	11.15545	11.50233	11.49235	11.3559
"RPL4"	11.65329	11.4823	11.47218	11.4671	11.6711	11.28829	11.60779	11.55603	11.43619
"NUP107"	10.1046	9.995767	9.896332	10.03755	10.07815	9.686501	9.899357	10.03755	9.865733
"RPS10"	10.19353	10.00983	9.942515	9.917372	10.16867	9.981567	10.07815	10.1046	9.920353
"SORL1"	10.06474	10.02375	9.878051	9.912889	10.05121	9.831307	9.967226	9.967226	9.995767
"BSG"	10.11764	10.07815	9.918863	9.932215	10.09144	9.733015	9.789534	10.14338	9.967226
"TFAM"	10.63572	10.7657	10.45224	10.69784	10.74903	10.21796	10.48281	10.72366	10.37829
"EIF2B4"	9.881114	9.658211	9.658211	9.804131	9.83289	9.467606	9.695228	9.799282	9.592457
"NUGGC"	9.61471	9.511753	9.438792	9.594325	9.652845	9.154818	9.403012	9.603626	9.255029
"UTP18"	9.878051	9.674192	9.675957	9.686501	9.859535	9.348728	9.674192	9.805744	9.592457
"UBE2K"	9.511753	9.35975	9.326429	9.447083	9.507795	9.071462	9.269127	9.507795	9.136991
"TNPO2"	7.651052	7.562242	7.467606	7.84549	7.643856	7.285402	7.643856	7.70044	7.569856
"PMPCA"	8.957102	9.036174	8.78136	9.008429	8.960002	8.738092	8.906891	8.927778	8.870365
"STAU2"	9.398744	9.250298	9.182394	9.353147	9.357552	9.129283	9.149747	9.348728	9.17742
"MORF4L1"	9.473706	9.290019	9.350939	9.257388	9.398744	9.030667	9.475733	9.294621	9.388017
"HYPK"	7.971544	7.965784	7.794416	7.820179	8.005625	7.622052	7.622052	8.005625	7.636625
"DCP1A"	7.807355	7.693487	7.577429	7.774787	7.813781	7.629357	7.67948	7.839204	7.714246
"CENPF"	7.491853	7.348728	7.312883	7.33985	7.577429	7.276124	7.426265	7.483816	7.531381
"CCNK"	7.864186	7.672425	7.507795	7.569856	7.686501	7.475733	7.491853	7.741467	7.721099
"UFD1L"	8.266787	8.184875	8.092757	8.219169	8.409391	7.78136	8.204571	8.134426	8.076816
"NOL8"	8.092757	7.930737	7.857981	7.994353	8.076816	7.894818	7.994353	8.005625	7.813781
"RNF114"	7.066089	6.870365	6.857981	7.076816	7.033423	6.490249	6.965784	6.930737	6.988685
"ACAP1"	6.285402	6.32553	6.108524	6.34163	6.3733	5.773469	6.228819	6.135453	6.361066
"ODF2"	6.135453	5.794416	5.663914	5.632268	5.842979	5.399171	5.733354	5.855491	5.88996
"TFB2M"	9.111136	8.873444	8.807355	8.924813	8.991522	8.693487	8.851749	8.891784	8.813781
"EIF4E2"	7.491853	7.266787	7.312883	7.507795	7.531381	6.593951	7.409391	7.321928	7.076816
"TTK"	6.320124	6.195741	6.36807	6.531381	6.376777	5.617651	6.303781	6.139551	6.207502
"PIH1D1"	8.276124	8.144658	8.033423	8.33985	8.209453	7.60733	8.049849	8.199672	7.960002
"CARMIL2"	5.346957	4.842979	4.911692	5.095924	5.078951	3.925999	4.419539	5.32553	4.83289
"SIRT1"	6.388878	6.234578	6.209453	6.33985	6.441284	5.921246	6.34163	6.537607	6.414474
"VPS72"	7.592457	7.539159	7.357552	7.392317	7.499846	7.169925	7.539159	7.5157	7.357552
"MRPL44"	6.754888	6.61471	6.554589	6.629357	6.548437	6.338068	6.327328	6.369815	6.590961
"GPATCH1"	7.179909	7.044394	6.965784	6.918863	7.087463	6.520422	6.894818	6.918863	7.022368
"ERI1"	7.665336	7.459432	7.60733	7.658211	7.539159	7.209453	7.569856	7.392317	7.592457
"DSN1"	7.312883	7.321928	7.118941	7.257388	7.303781	6.988685	7.209453	7.294621	7.247928
"UBE2E3"	6.672425	6.318317	6.43796	6.283551	6.521993	5.937815	6.620586	6.658211	5.951868
"DVL2"	6.193772	6.185867	6.011227	6.151778	6.189825	5.375039	6.029011	6.022368	6.203593
"UBE2E2"	6.70044	6.61471	6.521993	6.72792	6.807355	5.514122	6.488644	6.768184	5.526695
"ACBD5"	5.82273	6.046578	5.725196	5.773469	5.958843	5.409391	5.902074	5.725196	6.029011
"FLYWCH2"	6.161888	6.159871	5.847997	5.958843	6.022368	4.872829	5.892391	6.074677	5.909293
"PASK"	6.244126	6.015694	6.037821	6.283551	6.100137	5.708739	6.221104	6.149747	6.209453
"UBE2L6"	7.636625	7.467606	7.409391	7.67948	7.72792	7.467606	7.562242	7.577429	7.546894
"VPS28"	5.364572	5.770829	5.840463	5.872829	5.847997	5.311067	6.121015	5.669594	6.008989
"PMS1"	6.020147	5.649615	5.738768	5.877744	5.918863	5.789208	5.963474	5.940167	5.620586
"SQSTM1"	4.857981	4.364572	4.129283	4.121015	4.465974	4.491853	4.177918	4.292782	4.201634
"NT5DC2"	3.560715	3.837943	3.548437	3.584963	3.57289	3.405992	3.070389	3.321928	3.263034
"SLX4"	5.040016	5	4.632268	4.765535	4.807355	4.270529	4.554589	4.986411	5.074677
"METTL8"	5.875289	5.940167	5.683696	6.125155	5.827819	5.705978	5.916477	5.69488	5.865424
"NMRAL1"	7.087463	7	6.820179	7.129283	6.894818	6.930737	7.066089	6.894818	7.033423
"NGRN"	5.048759	5.536053	5.259272	5.104337	5.608809	5.661065	5.436295	5.145677	5.529821
"APOM"	6.72792	6.496654	6.211402	6.529821	6.526695	6.352264	6.228819	6.427941	6.189825
"RCOR3"	6.545351	6.510962	6.369815	6.531381	6.672425	6.161888	6.520422	6.523562	6.465974
