Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
GINS2	7.736740155	8.311067102	7.791814071	7.806710718	8.259272487	8.16540952	7.798309782	7.38024459	7.666756592
RPS27A	9.077616872	8.551516018	8.582706527	8.736740155	7.962317655	8.362382216	7.407692649	8.47208155	8.226893814
CTU2	9.348728154	9.124379836	9.738261184	9.309476354	8.790837187	9.470252137	8.932805294	9.176671834	8.932510053
DENND5B	9.606775324	9.678600139	9.870827048	10.42469119	8.62388149	9.085870755	9.428360173	8.679831933	9.481193978
INTS3	9.519439687	8.470048726	9.32305476	9.028458647	8.811856314	8.72417275	8.481395824	8.472487771	9.35974956
RNPC3	7.560714954	8.961160258	8.658925511	9.204815648	9.34894941	8.328226119	9.29186137	8.685099172	9.741972515
LRBA	8.995767151	9.356231863	9.411722822	9.477151114	8.94016675	9.056908618	9.017921908	9.05202456	9.142107057
DCAF15	9.049031698	8.615077832	6.251719093	6.173926932	8.703557562	8.482606308	8.909293086	8.845176387	6.82527683
MMGT1	6.232660757	5.815063017	6.786596362	6.737416366	5.575917361	6.133399125	6.757556689	6.503030646	6.48703608
FNBP1	8.296457407	8.757223311	8.996332249	8.876516947	8.627169061	9.532355925	8.796039609	8.789533645	8.224966365
GPR65	8.609178738	8.33136485	8.574404309	9.199426968	8.574025798	7.858602712	7.906890596	8.17042585	9.468420402
LSR	10.03383593	7.834154981	7.218199944	7.265849421	7.729960561	7.63008507	8.025693274	8.776433032	7.101187815
PCDH9	7.892998093	8.270061673	9.799119694	8.945736443	7.682292371	9.199426968	8.599540966	8.707704233	8.307428525
MTFR1	8.577806447	8.963185094	9.331140882	9.145677455	9.31083996	9.031770114	9.244601688	9.095397023	9.661778098
GOLGA4	9.361505198	9.325305455	9.800090988	9.924367159	9.129798173	9.224242907	9.47208155	9.041932882	9.782343034
SPDL1	9.015972508	8.167919866	9.354249382	8.760886243	9.008988783	9.018200179	9.223760401	9.19451064	9.373082645
TARDBP	8.354469792	7.712870868	8.58082385	8.069315495	8.583082768	8.087462841	8.044394119	8.277519887	8.95942242
RAD51AP1	9.868668248	7.761551232	9.698531047	7.967514481	9.74281467	9.475530791	10.01094764	9.391243589	10.00758797
MLLT6	9.22905912	9.167919866	9.136222153	9.086136225	9.75788999	9.248402006	9.113481728	9.123604124	9.581765495
MLLT1	7.757556689	8.99830835	7.171927354	8.202123824	7.442114122	7.983563697	6.971543554	9.255736757	6.655351829
BUD13	7.786596362	9.162643086	9.460455896	9.385862401	9.43837603	9.047396608	7.997179481	8.274261661	9.482404631
SUZ12	8.139551352	8.505414609	7.627898616	7.868513924	8.709083813	8.350939182	8.797985691	8.712183051	8.062316027
EIF2S2	8.597680144	9.553245292	9.86727874	10.32181538	9.413416375	9.26185986	6.721099189	8.656424863	10.10289429
SFSWAP	10.12554262	9.390598906	10.26009625	9.713901978	9.927037169	9.811374694	9.849561482	9.267488981	10.36413466
TMF1	9.67912818	9.14822234	4.817623258	5.708739041	9.433376793	9.096451624	8.824958741	8.678424083	5.754887502
CCM2	9.313790025	7.624247146	8.477353527	7.872213144	8.930737338	8.304237225	9.40173285	9.376125389	9.049848549
CAST	7.865423978	8.862017377	8.124121312	9.043027284	8.405566974	7.927777962	9.395105655	8.767522386	8.37894506
POLA1	8.573268478	9.613052738	9.37894506	9.776926458	9.225930411	9.114783447	9.036997774	8.982993575	9.656603625
LIPE	8.125671763	7.992088609	9.040563711	8.554588852	8.434628228	8.411934625	7.73809226	8.601027897	8.966937979
RLF	8.156335937	8.191799501	8.020146573	7.663913842	8.085870755	8.426684082	7.267723052	7.529040056	7.682292371
PML	8.901168595	8.710117632	8.725536678	8.512542955	9.223036338	8.954487147	9.13416959	8.874059203	9.092757141
NSMCE2	7.811214118	9.258566034	9.494455614	9.262094845	8.704249502	9.427731867	8.518062976	8.234098898	8.814422247
PRKAA1	7.64385619	8.327777171	5.857980995	6.089582893	7.992655149	8.343851933	7.449561375	7.798957748	6.055282436
SEPTIN7	9.396176618	10.10328781	9.477353527	9.324630615	10.25915477	10.25561875	10.13609395	9.445842554	9.565292521
KIF3A	8.46311562	9.003096215	8.208478242	9.498450341	8.171427027	7.862327401	8.264911693	7.938403424	8.648537346
PITPNM2	7.497452696	8.053111336	8.631177056	8.949826711	7.62935662	7.713558356	7.452035274	7.658925511	8.664625055
UIMC1	9.724343312	9.347621369	7.057450272	7.075746538	9.378728358	9.429197488	8.586089166	8.818262608	7.402585758
WAC	9.37894506	10.10904708	6.803485376	7.253611152	9.389953933	9.708911437	9.36719631	9.188341576	6.491853096
SLX4	8.534497434	8.456970381	8.741466986	9.089053172	8.435878577	8.15936681	8.984133595	8.87436665	9.157599574
NCAPG	9.014857381	9.698357406	5.904484098	5.498250868	9.652307222	9.312656099	8.306061689	8.790837187	6.336283388
MREG	7.894211462	8.355791547	9.802839441	9.123345461	8.229780167	9.042480186	7.948367232	8.168421411	8.936343481
TRMT112	7.262094845	7.519636253	6.893604905	7.243173983	7.514911265	7.225930411	7.184875343	8.496654083	7.105384749
MTM1	8.045486656	8.176422513	7.943100848	8.449148645	7.543805176	7.769507291	8.432124273	8.846744023	7.587964989
SMC5	8.492654371	9.212374788	7.62497818	8.176422513	9.477353527	8.674192268	8.679831933	7.888743249	8.2644426
MTMR14	7.925406083	8.145677455	9.903279342	8.510961919	9.164655564	9.50442177	8.9489512	8.829405624	9.568716189
NCKIPSD	9.0452136	8.56414949	9.09037711	8.74281467	8.488241843	8.885391332	7.762215916	8.729960561	8.480992104
AKNA	8.162391329	8.931328485	9.018200179	9.047396608	7.946613905	8.875288598	7.43629512	8.917372079	7.976707312
TMEM184B	9.633721813	8.25219234	9.380461065	7.86727874	8.30560579	9.600842114	8.314243347	8.548821908	7.864805194
INO80B	6.61176256	8.730300298	7.656782364	8.541096615	8.599168993	8.225930411	7.892391026	8.560714954	8.154311811
