Gene,norm_19-A,norm_19-C,norm_1-1ug-B,norm_19-B,norm_1-B,norm_1-C,norm_1-1ug-C,norm_1-1ug-A,norm_1-A
CD63,6.94251450533924,6.906890595608519,6.918863237274595,6.832890014164741,6.882643049361842,6.727920454563199,7.339850002884624,6.794415866350106,7.076815597050831
NME7,5.760220946466509,5.906890595608519,5.809928865721431,5.439623137557117,6.137503523749935,5.584962500721156,5.602884408718419,5.897240425574799,5.7414669864011465
ZNF106,5.680886920719692,5.532940288372874,5.25171909260596,5.409390936137702,5.722466024471091,5.5109619192773796,5.472487771462744,5.572889668420581,5.361066488794321
NUDT9,6.592457037268081,6.599912842187128,6.7414669864011465,6.559185865787734,6.569855608330948,6.501439145158873,6.700439718141092,6.6293566200796095,6.672425341971495
FCHSD2,3.990954860396993,4.24031432933371,3.733354340613827,3.6667565918848033,4.053111336459563,0.0,3.9726926540042644,4.044394119358453,3.8875252707415875
CUTC,4.439623137557117,4.560714954474479,4.129283016944966,4.817623257511431,4.536052900240209,5.125155131322289,4.760220946466509,4.536052900240209,4.498250867527825
TMEM192,5.997744026059632,6.046578366620329,6.151777654732053,5.807354922057604,5.979568100095187,5.951867504326902,6.2268938135713885,6.068240861312821,6.002252451731379
COG1,6.514122260170708,6.441284271927038,6.446256229889564,6.187846909439575,6.622051819456376,6.4212232992251375,6.499845887083206,6.446256229889564,6.329123596291566
IAH1,6.354028938054387,6.221103725367875,6.470862199413702,6.457791260256042,6.332707933640605,6.30560578958543,6.504620392403552,6.346956889378885,6.655351828612554
SLC2A6,5.817623257511431,5.825276830054866,6.076815597050831,5.689299160535892,5.797012977836145,4.842978831788326,6.053111336459563,5.7865963618908065,6.017921907997263
RPS6KA4,6.645298163948631,6.672425341971495,6.4495613746132365,6.768184324776926,6.604367899893749,6.651051691178928,6.414473836430928,6.422905742612183,6.700439718141092
UBP1,7.129283016944966,7.303780748177103,7.400879436282184,7.118941072723508,7.189824558880018,6.94251450533924,7.266786540694901,7.426264754702098,7.108524456778169
AP4M1,5.760220946466509,5.548436624696042,5.364572432295856,5.2964574073712445,5.694880192799191,5.213347281733441,5.5109619192773796,5.652486494918165,5.532940288372874
LSM10,6.050936965225225,5.970393537914677,6.22881869049588,6.053111336459563,6.181897643108388,5.683696454306515,6.137503523749935,6.0916998341368105,6.029011086659068
LRRC8C,5.906890595608519,6.1799090900149345,6.063934305754099,5.83541884047548,6.03342300153745,5.88508622529017,5.951867504326902,5.904484097901423,5.867896463992655
CFAP97,2.5109619192773796,2.608809242675524,2.292781749227846,2.37851162325373,2.292781749227846,0.0,2.4329594072761065,1.84799690655495,2.700439718141092
TPCN1,4.672425341971495,4.661065479806948,4.872828759534886,4.536052900240209,4.638073837180719,4.307428525192248,4.727920454563199,4.643856189774724,4.791814071161826
POMP,4.842978831788326,4.727920454563199,4.867896463992655,4.817623257511431,4.986410935252045,4.802193216941825,4.877744249949002,4.700439718141092,4.683696454306515
MRPL34,6.422905742612183,6.414473836430928,6.551516017628014,5.9954845188775066,6.399171093819823,6.145677455195635,6.339850002884624,6.330916878114617,6.39746072605472
CFAP100,6.407692648665677,6.307428525192248,6.633721812641012,6.1001366712854495,6.285402218862249,6.2890967024199895,6.9886846867721655,6.320123598040615,6.5530532527664125
GGACT,4.255500733148386,4.232660756790275,3.9068905956085187,3.8278190246173196,4.584962500721156,4.20945336562895,3.9164766444377164,4.232660756790275,3.655351828612554
IMPAD1,6.820178962415188,6.700439718141092,6.620586410451877,6.672425341971495,6.870364719583405,6.60584986719498,6.870364719583405,6.727920454563199,6.6865005271832185
TRIP10,5.314696525656286,5.638073837180719,5.224966365000275,5.336283387864432,5.318316841334983,4.949534933017012,5.189824558880018,5.112700132749362,5.368069876532083
ZNF316,3.560714954474479,3.643856189774725,3.277984747299765,3.4329594072761065,3.4462562298895643,0.0,3.0874628412503395,3.035623909730721,3.643856189774725
GAPDH,13.643968895922267,13.48947168700768,13.720778649167064,13.843626673792848,13.526621496247854,13.609755885423706,13.863121532158395,13.720778649167064,13.956829877743044
MYH9,13.843626673792848,13.803828410790832,13.78350985734259,13.853407031505254,13.853407031505254,13.621250608337666,13.7732422526853,13.833779559999659,13.813881374894095
HNRNPK,12.198751965193736,12.238106137432077,12.23511671439625,12.161446847518008,12.177108041703693,11.922212717785449,12.14242620231898,12.161446847518008,12.170863950411928
SYNCRIP,12.531625138422624,12.534059656450363,12.55098721452152,12.511999669441451,12.534059656450363,12.26473580113014,12.482051629033913,12.58894882031468,12.50457073932441
ACLY,12.241089378860856,12.155134454857755,12.183325224524612,12.409656113059851,12.207929445511667,12.063732120196919,12.258860431409756,12.325024310191417,12.352871054677996
CCT3,12.258860431409756,12.270587340447511,12.204876767603993,12.241089378860856,12.267664537501119,12.103615656394545,12.177108041703693,12.299494239009364,12.226111098132389
TCP1,11.393926675640417,11.322491537597468,11.28828934218097,11.467096033905747,11.366868586167094,11.366868586167094,11.487337615207181,11.355901638328417,11.436190995481416
ILF3,11.671098725748465,11.723234300893377,11.744413410557655,11.822172461476178,11.688687423222536,11.61240779313867,11.798066720363062,11.639792893279312,11.761135649828645
SUPT16H,12.0087787482805,12.050188767596435,12.060358182642142,11.98049663618346,12.106890045092218,11.958915156091349,11.98049663618346,12.129605011152504,11.97692206785108
SMC3,11.71037597120447,11.639792893279312,11.70173963867435,11.68431031112435,11.653292945382814,11.630722162103838,11.79400964502097,11.688687423222536,11.67991987851842
ATP1A3,9.65284497300198,9.754887502163468,9.722807531169547,9.888743248898258,9.696967526234287,9.726218159332198,9.926295994781112,9.693486957499324,9.829722735086058
PSMD1,11.16804526822409,11.155450731312138,11.14274527675153,11.205182326228643,11.205182326228643,11.009128789539256,11.186733289128867,11.129926933510394,11.14274527675153
LAP3,11.211279947482009,11.235415935602527,11.155450731312138,11.229419688230417,11.199058823653022,11.070791809423062,11.192909219112012,11.199058823653022,11.199058823653022
MCM4,11.174301544467632,11.14274527675153,11.116993677546981,11.155450731312138,11.180530807344482,10.944712061043486,11.116993677546981,11.211279947482009,11.12347479824414
PRKAR2B,10.43149760425805,10.512740462803498,10.452241240430817,10.323054760341646,10.55170826162069,10.253847484987404,10.43149760425805,10.62662165235837,10.399811959325685
PSMC2,11.2940463132715,11.404609397837712,11.28828934218097,11.350386742312843,11.328113894833656,11.077483356859508,11.305491792110685,11.366868586167094,11.322491537597468
HADHA,11.217351905270334,11.174301544467632,11.282509306240836,11.25915476886684,11.211279947482009,11.161761743304675,11.2940463132715,11.355901638328417,11.192909219112012
PAICS,11.25915476886684,11.339293300180094,11.205182326228643,11.16804526822409,11.34485068394299,11.097373768990222,11.155450731312138,11.33371442609397,11.235415935602527
NARS,10.952013164889486,10.987974524296153,11.029977346589579,10.854089179870574,11.009128789539256,10.706496018061188,10.892542816648552,11.036860446673046,10.922584402713664
CCAR2,11.023061249735335,11.070791809423062,11.09077405464075,11.077483356859508,11.036860446673046,10.907641803665527,11.14274527675153,11.057314877782703,11.110483309816226
PPA1,10.966505451905741,10.952013164889486,10.822570830950168,10.987974524296153,11.002111776479852,10.91513244895065,10.838416075797337,10.980853606379736,10.93737382019215
NCAPG,10.580258567499788,10.62662165235837,10.542064542283443,10.644757592516257,10.635718120331047,10.44190670454224,10.617467465294196,10.715104009236168,10.589651146514786
NUP93,10.966505451905741,11.002111776479852,10.922584402713664,11.016111838220512,10.966505451905741,10.635718120331047,10.966505451905741,11.016111838220512,10.980853606379736
UCHL1,11.050528905530555,11.06406908038551,11.036860446673046,10.952013164889486,11.14274527675153,10.830515206976838,10.922584402713664,11.155450731312138,11.016111838220512
PTMA,11.446566409066067,11.551227603598289,11.404609397837712,11.350386742312843,11.456867738380343,11.050528905530555,11.241387363998937,11.311180660053354,11.415213598765286
NUDC,11.51717725268954,11.56081046872794,11.477252323937952,11.617008227651965,11.531868775177553,11.26502894245816,11.565578136784328,11.482303782323182,11.579787329526992
TBC1D4,11.050528905530555,11.029977346589579,10.922584402713664,11.070791809423062,11.036860446673046,10.830515206976838,10.980853606379736,11.057314877782703,11.016111838220512
YBX1,10.492854620174748,10.635718120331047,10.532355925288847,10.542064542283443,10.580258567499788,10.265615046484458,10.55170826162069,10.421012855779226,10.512740462803498
QARS,10.740624044489413,10.723660944409984,10.653740778706569,10.806549621985962,10.706496018061188,10.732167425663384,10.782179193831208,10.723660944409984,10.715104009236168
AP2B1,8.515699838284043,8.546894459887637,8.479780264029099,8.59245703726808,8.515699838284043,8.290018846932618,8.566054038171092,8.51175265376738,8.618385502258606
SRSF2,9.250298417906333,9.31741261376487,9.221587121264806,9.20945336562895,9.226412192788786,9.0,9.214319120800766,9.20212382383046,9.231221180711186
RBM26,10.973697366305352,10.929998062609027,10.900112062977456,10.944712061043486,10.995060467032719,10.7657004876511,10.861862340059151,10.922584402713664,10.922584402713664
LUC7L2,10.723660944409984,10.689124404913258,10.680359523513713,10.861862340059151,10.697836357962377,10.570804437724497,10.814582465906277,10.62662165235837,10.838416075797337
RCC1,10.023754353299417,9.871905237659186,9.926295994781112,9.828136484194108,10.037546953962178,9.672425341971495,9.847057346091336,9.981567281903015,9.842350343413807
MTHFD1L,10.55170826162069,10.561287945164828,10.680359523513713,10.532355925288847,10.55170826162069,10.47269083924278,10.589651146514786,10.715104009236168,10.52258153125483
PRKCSH,10.740624044489413,10.757390009366638,10.861862340059151,10.66266837551754,10.7657004876511,10.512740462803498,10.798471801101618,10.697836357962377,10.706496018061188
SNW1,10.037546953962178,9.995767150877802,9.995767150877802,9.896332403909941,10.023754353299417,9.753216749178955,9.871905237659186,9.967226258835993,9.967226258835993
MTDH,10.410451351503994,10.399811959325685,10.47269083924278,10.323054760341646,10.389093521904474,10.33427328530719,10.47269083924278,10.30035256032822,10.367414751246828
PRMT5,10.838416075797337,10.854089179870574,10.814582465906277,10.830515206976838,10.846273911349906,10.55170826162069,10.749031382040204,10.922584402713664,10.806549621985962
ATXN10,10.389093521904474,10.542064542283443,10.410451351503994,10.492854620174748,10.462502272597265,10.410451351503994,10.512740462803498,10.52258153125483,10.47269083924278
GOLGA3,9.703903573444663,9.638435913990472,9.778077129535358,9.693486957499324,9.812177305514448,9.649256177517314,9.731319031025064,9.693486957499324,9.665335917185176
RAP1B,10.16867211813223,10.064742764750257,10.156083076288681,10.14338321398982,10.037546953962178,10.14338321398982,10.14338321398982,10.091435386323607,10.117643101389092
PSME1,10.580258567499788,10.389093521904474,10.502831804066744,10.512740462803498,10.502831804066744,10.07815080773465,10.410451351503994,10.502831804066744,10.482807956726667
BZW2,10.838416075797337,10.869593843240784,10.790348496751914,10.995060467032719,10.846273911349906,10.680359523513713,10.861862340059151,10.944712061043486,10.959277505720502
SYMPK,10.399811959325685,10.323054760341646,10.43149760425805,10.399811959325685,10.421012855779226,10.181152256865566,10.44190670454224,10.421012855779226,10.367414751246828
HCLS1,10.156083076288681,10.253847484987404,10.193525360501216,10.14338321398982,10.28886607416582,9.81698362325538,10.064742764750257,10.181152256865566,10.130570562805426
PRPF19,10.265615046484458,10.24198314969433,10.24198314969433,10.253847484987404,10.265615046484458,10.193525360501216,10.130570562805426,10.311748315004959,10.217957697864113
XAB2,10.117643101389092,10.037546953962178,10.130570562805426,10.07815080773465,10.10459875356437,9.800899899920305,10.023754353299417,10.156083076288681,10.051208940914766
